No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
282,Thailand,Bangkok Suvarnabhumi Airport (BKK),China,Shanghai Pudong International Airport (PVG),2894
283,Thailand,Bangkok Suvarnabhumi Airport (BKK),China,Guangzhou Baiyun International Airport (CAN),1704
284,Thailand,Bangkok Suvarnabhumi Airport (BKK),China,Beijing Capital International Airport (PEK),3308
285,Thailand,Bangkok Suvarnabhumi Airport (BKK),South Korea,Incheon International Airport (ICN),3663
286,Thailand,Bangkok Suvarnabhumi Airport (BKK),Singapore,Singapore Changi Airport (SIN),1411
287,Thailand,Bangkok Suvarnabhumi Airport (BKK),Taiwan,Taiwan Taoyuan International Airport (TPE),2488
288,Thailand,Bangkok Suvarnabhumi Airport (BKK),Japan,Narita International Airport (NRT),4650
289,Thailand,Bangkok Suvarnabhumi Airport (BKK),Japan,Tokyo Haneda Airport (HND),4589
290,Thailand,Bangkok Suvarnabhumi Airport (BKK),Malaysia,Kuala Lumpur International Airport (KUL),1215
291,Thailand,Bangkok Suvarnabhumi Airport (BKK),India,Delhi Indira Gandhi International Airport (DEL),2947
292,Thailand,Bangkok Suvarnabhumi Airport (BKK),India,Chennai International Airport (MAA),2230
293,Thailand,Bangkok Suvarnabhumi Airport (BKK),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),2287
